"","X2637","X2704","X2710","X2711","X2641","X2643","X2631","X2712","X2703","X2702","X2843","X2646","X2844","X2644","X2701","X2613","X2647","X2841","X2610","X2611","X2608","X2888","X2614","X2606","X2853","X2645","X2681","X2682","X2612","X2744","X2683","X2678","X2609","X2680","X2607","X2745","X2679","X2686","X2748","X2743","X2713","X2848","X2747","X2820","X2714","X2685","X2749","X2816","X2817","X2746","X2819","X2818","X2821","X2715","X2823","X2822","X2751","X2651","X2876","X2879","X2878","X2649","X2880","X2652","X2877","X2655","X2648","X2873","X2874","X2721","X2654","X2653","X2722","X2881","X2656","X2724","X2720","X2719","X2788","X2723","X2789","X2792","X2857","X2875","X2790","X2793","X2791","X2796","X2861","X2860","X2727","X2725","X2906","X2858","X2859","X2726","X2908","X2904","X2903","X2907","X2911","X2910","X2909"
"id_2",0,0,0,0,0,0.0111731843575419,0,0.00526315789473684,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0.00505050505050505,0,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_11",0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0.00540540540540541,-0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062111801242236,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,-0.005,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,-0.00505050505050505,0,0,0,0,0,0,-0.00526315789473684,0,0,0,0,0,0.00523560209424084,0,0,0,0,0,0,0,0
"id_12",0.00609756097560976,0.00518134715025907,0,0,0,0.00558659217877095,0,0.00526315789473684,0.00571428571428571,0.00584795321637427,0,0,0,0,0,0,-0.0100502512562814,0,0,0,0.00561797752808989,0.00546448087431694,0,0,0.00537634408602151,0,0,0,0.00520833333333333,0,0.0053475935828877,0,0,0,0,0,0,0,0.0100502512562814,0,0.00549450549450549,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0,0,0.00555555555555556,-0.00505050505050505,0,0,0,0.00529100529100529,0.00537634408602151,0,0,0,0,-0.00543478260869565,0,0,0,0.00595238095238095,0.0151515151515152,0,0,0,0,0.00543478260869565,0.0106951871657754
"id_13",0,0,0.00595238095238095,0,0.00512820512820513,-0.00558659217877095,0,0,0,0.00584795321637427,0,0,-0.00540540540540541,0,0,0,0.0050251256281407,0.0103626943005181,0,0,0,0.00546448087431694,0,0,0.00537634408602151,0,0,0,-0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0.00526315789473684,0.0122699386503067,0,0,0,0,0,0,0.00520833333333333,0,0.00555555555555556,0,0,0,0,0.0105820105820106,0,0,0,0,0,0,0,-0.0104166666666667,0,0,0,-0.010989010989011,0,0,0,0,0.0053475935828877
"id_14",-0.00609756097560976,0.0103626943005181,-0.00595238095238095,0.00549450549450549,0.0205128205128205,0.0111731843575419,0,0,0,0.00584795321637427,0,0.0118343195266272,-0.00540540540540541,0.0062111801242236,0,0,0,0,0,0,0,-0.00546448087431694,0.00549450549450549,0,0.010752688172043,0,0,0,0,0.00510204081632653,0,0,0,0.00529100529100529,0,0.0053475935828877,0,0,0,0,0.00549450549450549,0.00537634408602151,-0.00540540540540541,0,0.00609756097560976,0,0,0,0,0,0,0,0,-0.00520833333333333,0,0,0,0,0,0,0,0,0.00476190476190476,0,0,0,0,0,0.00526315789473684,0,0,0.00613496932515337,0,0,0.00574712643678161,0,0.00561797752808989,0,0,0,0.00555555555555556,0.00505050505050505,0.00558659217877095,0,0.00555555555555556,0,-0.00537634408602151,0.00537634408602151,0,0,0,0,0,0,0.00523560209424084,0.00595238095238095,0,0.00549450549450549,0,-0.00549450549450549,0,0,0.0053475935828877
"id_20",0,0,0,0,0,0,0,0,-0.00571428571428571,0,0,0,0,0,0.00555555555555556,0,0,0,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,-0.00510204081632653,0,0,0,0,0,-0.0053475935828877,0,0,0,0.0053475935828877,0,0.00537634408602151,0,0,0.00609756097560976,0.0050761421319797,0,-0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0,0,0,0,0,0.00568181818181818,0,0.00526315789473684,0,0,0,0,0,-0.00574712643678161,-0.00568181818181818,0,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0.00520833333333333,0,0,0,0,0,0,0,-0.00552486187845304,0,0,-0.0053475935828877,0,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0.00558659217877095,0,0,0,0,0,0,0,0,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,-0.00595238095238095,0,0,0,0,0,0,0
"id_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_26",0.00609756097560976,0.00518134715025907,0,0,0.00512820512820513,0.0111731843575419,0,0,0,0.00584795321637427,0,0.00591715976331361,0,0,0,0.00518134715025907,0,0.00518134715025907,-0.0048780487804878,0,0,0,0,0.00546448087431694,0,0.0062111801242236,0,0,0,0,0,0,0.00578034682080925,0,0,0,0,0,0.0050251256281407,0,0.00549450549450549,0.00537634408602151,0,0,0,0,0,0,0,0,0.00546448087431694,0,0,0.00520833333333333,0.00558659217877095,0,0,0.00598802395209581,0.0053475935828877,0,0,0.00540540540540541,0,0,0.00591715976331361,0.00555555555555556,0,0,0,0,0.00526315789473684,0,0,0,0,-0.00568181818181818,0.00561797752808989,0.00543478260869565,0,0,0.00555555555555556,0.00505050505050505,0,0,0,0.00529100529100529,0,0.010752688172043,0.0105263157894737,0,0.00446428571428571,0,0,-0.00520833333333333,0,0,0.00505050505050505,0.00549450549450549,0,0.00549450549450549,0.0158730158730159,0.00543478260869565,0.0106951871657754
"id_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_29",0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0.0053475935828877,0,0,0,0,0,0,0,0,0,0,0,0,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_37",0,0,0,0,0,0,0.00540540540540541,0,0,0,0,0.0118343195266272,0,0,0,0,0,0.00518134715025907,0,0,0,0.00546448087431694,0.010989010989011,0,-0.00537634408602151,0,0,0,0,0.00510204081632653,0,0,0,0,0,0,0,0.00636942675159236,0.0050251256281407,0,0.00549450549450549,0.00537634408602151,0,0,0,0,0,0.00543478260869565,0.00598802395209581,0.00568181818181818,0,0.00526315789473684,0.00523560209424084,0.0104166666666667,0.00558659217877095,0,0,0,0,0,0.00552486187845304,0,0,0,0,0,0.0113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0.00446428571428571,0,0.00571428571428571,0,0,0,0.00505050505050505,0.00549450549450549,0,0.00549450549450549,0,0,0
"id_45",0,0,0,0.00549450549450549,0.00512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00540540540540541,0,0.00636942675159236,0,0,0,0,0,0.0065359477124183,0,0.00613496932515337,0,0,0,0,0,0,0.00520833333333333,0.00540540540540541,0,0,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0.00520833333333333,-0.00523560209424084,0,0,0.00549450549450549,0,0,0,0,0
"id_47",0,0,0,0,0.00512820512820513,0.00558659217877095,0,0,0.00571428571428571,0,0,0,0,0.0124223602484472,0,0,0,0.00518134715025907,0,0,0,0,0,0,0.00537634408602151,0,0,0,0.00520833333333333,-0.00510204081632653,0,0,0,0,0,0,0,0,0,0,-0.00549450549450549,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00540540540540541,0,0.00636942675159236,0,0,0.0170454545454545,0,0,0,0.00526315789473684,-0.00613496932515337,0.00588235294117647,0,0,0.0113636363636364,0,0.00543478260869565,0.00520833333333333,0.00540540540540541,0,0,0,0,0,0.00529100529100529,0,0.00537634408602151,0,0,0.00446428571428571,0.00543478260869565,0,0.00520833333333333,0.00523560209424084,0,0,0,0,0,-0.00529100529100529,0,0
"id_49",0,0.00518134715025907,-0.00595238095238095,0,0.00512820512820513,0.0111731843575419,0.0108108108108108,0,0,0,0,0.00591715976331361,0,0,0,0,0.0150753768844221,0.00518134715025907,0,-0.00574712643678161,0,0,0,0,0.010752688172043,0.0124223602484472,0.00529100529100529,0,0,0,0,0,-0.00578034682080925,0.00529100529100529,0.0124223602484472,0.0053475935828877,0,0,0,0,0.00549450549450549,0,0.0108108108108108,0,0.0182926829268293,0,0.00564971751412429,0.00543478260869565,0,0,0,0.00526315789473684,0,0.0104166666666667,0,0,0,0.0119760479041916,0,0,0,0.00540540540540541,0,0,0,0,-0.00568181818181818,0.00546448087431694,0,0.0065359477124183,0,0,0,0,0,0.00568181818181818,0,0,0.00520833333333333,0,0.00555555555555556,0.0151515151515152,0,0,0.00555555555555556,0,0.00537634408602151,0.00537634408602151,0.00526315789473684,0.0053475935828877,0.00446428571428571,0,0.0114285714285714,0.00520833333333333,0,0,0.0101010101010101,0,0,-0.00549450549450549,0.00529100529100529,0,0.0053475935828877
"id_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00549450549450549,0,0,0,0,0,0,-0.00510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0.00510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_53",0,0,0,0,0.0153846153846154,0,0.0108108108108108,0,0.0114285714285714,0,0,0.00591715976331361,0,0,0,0,0,0.00518134715025907,-0.0048780487804878,-0.00574712643678161,0.00561797752808989,0,0,0.00546448087431694,0.00537634408602151,0.0062111801242236,0,0.00657894736842105,0.00520833333333333,0,0,0,0,0,-0.0124223602484472,0,0,0,0,0,0,0.00537634408602151,0,0,0.0121951219512195,0,0.00564971751412429,0,0,0,0.00546448087431694,0,0,0,0,0,0,0,0,0,0,0,0.00476190476190476,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0.00574712643678161,0,0,0,0.00520833333333333,0,0.00555555555555556,0,0,0,0,0,0,0,0,0.0053475935828877,0,0,0,0,-0.00523560209424084,0,0,0.00549450549450549,0,0,0,0,0.0053475935828877
