featureID,VSURF_score,MeanDecreaseAccuracy,GNPSLinkout_Cluster,GNPSLinkout_Network,INCHI,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,Smiles,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster.index,componentindex,number.of.spectra,parent.mass,precursor.charge,precursor.mass,sum.precursor.intensity.,MolNetEnhancer_CF_componentindex,MolNetEnhancer_CF_NrNodes,MolNetEnhancer_CF_kingdom,MolNetEnhancer_CF_kingdom_score,MolNetEnhancer_CF_superclass,MolNetEnhancer_CF_superclass_score,MolNetEnhancer_CF_class,MolNetEnhancer_CF_class_score,MolNetEnhancer_CF_subclass,MolNetEnhancer_CF_subclass_score,MolNetEnhancer_CF_Dparent,MolNetEnhancer_CF_Dparent_score,MolNetEnhancer_CF_MFramework,MolNetEnhancer_CF_MFramework_score,Qemistree_csi_smiles,Qemistree_ms2_smiles,Qemistree_ms2_library_match,Qemistree_structure_source,Qemistree_kingdom,Qemistree_superclass,Qemistree_class,Qemistree_subclass,Qemistree_direct_parent
id_10058,2.37826995385287e-05,0.00191048622435015,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""10058.0"""",""""main.cluster index_upperinput"""":""""10058.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.609,0.609,0,N/A,N/A,2297401000,69,10058,-1,69,174.1125,1,174.1125,2297401000,S586,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCCC(C(=O)OC)N=C(C)O,missing,missing,CSIFingerID,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives
id_1099,0.00166097890631732,0.001562633500714,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1099.0"""",""""main.cluster index_upperinput"""":""""1099.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.5223,0.5223,0,N/A,N/A,224890500,85,1099,-1,85,327.9851,1,327.9851,224890500,S133,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_112,0.004017784476853,0.00104810278626068,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""112.0"""",""""main.cluster index_upperinput"""":""""112.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.5187,0.5187,0,N/A,N/A,3673117000,109,112,85,109,200.973,1,200.973,3673117000,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,CS(=O)(=O)CC(=NC#N)O,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_1123,0.000589373875420225,0.00405017696267696,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1123.0"""",""""main.cluster index_upperinput"""":""""1123.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2549,8.2549,0,N/A,N/A,1761004000,59,1123,-1,59,329.2477,1,329.2477,1761004000,S139,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCC=CCCC=CC=CCC=CCC=CC=CCCCC(=O)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids
id_1196,9.69788214034835e-05,0.00117080176491941,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1196.0"""",""""main.cluster index_upperinput"""":""""1196.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,7.8995,7.8995,0,N/A,N/A,331055900,114,1196,27,114,480.1576,1,480.1576,331055900,27,26,Organic compounds,0.65384615,Phenylpropanoids and polyketides,0.19629121,Benzene and substituted derivatives,0.10770757,"",0.06498779,Phenylpyrrolidines,0.05769231,Aromatic heteropolycyclic compounds,0.49038462,CC(=O)OCC1C(C(C(C(O1)SCCN=C(CCC(=O)OC)O)O)OC(=O)C)OC(=O)C,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_1200,0.000563418670358688,0.00152251922251922,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1200.0"""",""""main.cluster index_upperinput"""":""""1200.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=435&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,Spectral Match to Monopalmitolein (9c) from NIST14,0.903239,7.3713,7.3713,0,N/A,CCMSLIB00003137946,46624220,17,1200,435,17,311.2564,1,311.2564,46624220,435,13,Organic compounds,1,Lipids and lipid-like molecules,0.74130037,Fatty Acyls,0.40247253,Monoradylglycerols,0.29487179,1-monoacylglycerols,0.19230769,Aliphatic acyclic compounds,0.62774725,CCCCCCC=CCCCCCCCC(=O)OCC1CO1,missing,Spectral Match to Monopalmitolein (9c) from NIST14,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Glycidol esters
id_12316,0.000399469244040369,0.00103300482202921,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""12316.0"""",""""main.cluster index_upperinput"""":""""12316.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.5224,0.5224,0,N/A,N/A,159705800,39,12316,-1,39,372.9454,1,372.9454,159705800,S810,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_1232,0.000126442846514804,0.00150969734158589,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1232.0"""",""""main.cluster index_upperinput"""":""""1232.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=839&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,7.9001,7.9001,0,N/A,N/A,333760800,115,1232,839,115,445.1204,1,445.1204,333760800,839,2,Organic compounds,1,Organic acids and derivatives,0.40178571,Carboxylic acids and derivatives,0.40178571,"Amino acids, peptides, and analogues",0.40178571,Proline and derivatives,0.40178571,Aromatic heteropolycyclic compounds,0.80357143,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_13584,3.02078564443232e-05,0.00103296868296868,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13584.0"""",""""main.cluster index_upperinput"""":""""13584.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.6062,0.6062,0,N/A,N/A,137836100,19,13584,-1,19,1979.6212,10,198.8621,137836100,S872,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_13617,3.83059825188677e-05,0.000942476373156733,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13617.0"""",""""main.cluster index_upperinput"""":""""13617.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.6105,0.6105,0,N/A,N/A,140366500,18,13617,-1,18,292.785,1,292.785,140366500,S881,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
