kingdom,superclass,class,subclass,N,lib_match
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",377,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,323,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,183,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,110,Yes
Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,102,Yes
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,98,No
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,94,Yes
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,82,No
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,76,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,68,Yes
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,54,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,51,Yes
Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,50,No
Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,unclassified,50,Yes
Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,50,No
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,49,Yes
Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,unclassified,42,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,40,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,39,Yes
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,39,Yes
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,38,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Oxosteroids,34,No
Organic compounds,Benzenoids,Benzene and substituted derivatives,unclassified,33,No
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,31,Yes
Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,31,No
Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,31,Yes
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,30,No
Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,30,Yes
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,30,No
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,28,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,26,No
Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,26,No
Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,25,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",24,No
Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,24,Yes
Organic compounds,Organoheterocyclic compounds,Benzodioxoles,unclassified,24,No
Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,unclassified,23,Yes
Organic compounds,Benzenoids,Benzene and substituted derivatives,Styrenes,23,Yes
