class,n_samp_obs,Limu_MA,CCA_MA,Coral_MA,FC_LimuVCoral,FC_LimuVCCA,FC_CoralVCCA,tuk_Coral_CCA_diff,tuk_Coral_CCA_p,tuk_Limu_CCA_diff,tuk_Limu_CCA_p,tuk_Limu_Coral_diff,tuk_Limu_Coral_p,f_stat,sum_of_sq,p_val,adj_p_val,sample_type_DA
Archaea_unclassified,2,6.36363636363636e-05,0,0,Inf,Inf,0,1.84933913421099e-18,1,0.0022177525076907,0.0832706531216349,0.00221775250769069,0.0854407825436029,2.87658592912811,8.26084053929612e-05,0.0615205653737669,0.107197798576986,NA
Nitrososphaeria,74,0.000790909090909091,0.0235796296296296,0.0272457142857143,-5.10637362630576,-4.89788537033419,0.208488255971573,-0.000521125961988944,0.999575128323059,-0.117697325136634,1.05097762093109e-06,-0.117176199174645,1.31917356016587e-06,18.5249421893075,0.231655383296568,1.82839736887959e-07,2.01123710576755e-06,CoralCCA
Nanoarchaeia,2,0,0.000511111111111111,4.95238095238095e-05,-Inf,-Inf,-3.36744275413973,-0.00258974558301544,0.741794926976617,-0.00377961291969946,0.613766877674338,-0.00118986733668402,0.952966349748014,0.512638867915167,0.000224245104464155,0.600651204271773,0.635523607354299,NA
Thermoplasmata,1,0,7.40740740740741e-06,0,0,-Inf,-Inf,-0.000453629374455554,0.50073876876864,-0.000453629374455553,0.586566606019267,6.28062829918389e-19,1,0.788018433179725,4.54042750994687e-06,0.457857060383823,0.50616533480578,NA
Acidobacteriae,65,3.03030303030303e-05,0.00421851851851852,0.00879238095238095,-8.18064801545045,-7.12113055401574,1.05951746143472,0.0189393868403703,0.145188227271629,-0.0537824759166724,2.4764702275526e-05,-0.0727218627570427,2.52125138544557e-08,20.7318648497831,0.0732794320919807,3.93228699003688e-08,6.9208251024649e-07,CoralCCA
Acidobacteriota_unclassified,43,0.00145454545454545,0.000177777777777778,0.000106666666666667,3.76938707185858,3.03242147769238,-0.736965594166206,-0.00234980571641135,0.639783187736074,0.0286230609679883,4.35398717080204e-10,0.0309728666843997,4.35391833697452e-10,62.3979719469053,0.0149946438740716,9.99400357995739e-18,8.7947231503625e-16,Limu
Blastocatellia,10,3.63636363636364e-05,0.000188888888888889,9.71428571428571e-05,-1.41761144294267,-2.37696945844532,-0.959358015502654,-0.000451889104685456,0.982148366735791,-0.00207138172500168,0.748236155522514,-0.00161949262031622,0.838875829354203,0.275148221860917,6.10214188302871e-05,0.760096065828912,0.768832802217751,NA
Subgroup_11,53,0,0.00264814814814815,0.00499047619047619,-Inf,-Inf,0.914193649256407,0.00912788006867826,0.553217874629394,-0.0409560265413831,0.000267823479786156,-0.0500839066100613,8.96095200031422e-06,13.2549009456002,0.0361822029496508,9.00745401649043e-06,3.96327976725579e-05,CoralCCA
Subgroup_21,52,2.42424242424242e-05,0.00122777777777778,0.00163047619047619,-6.07161558809348,-5.66237167730757,0.409243910785905,0.000792865096220032,0.987896736606639,-0.0264479864167491,0.000105840277132452,-0.0272408515129691,7.08845333714514e-05,11.98940571664,0.012109485740643,2.42006678614722e-05,8.5186350872382e-05,CoralCCA
Subgroup_22,7,8.78787878787879e-05,1.85185185185185e-06,0.000177142857142857,-1.01132641767279,5.56847437793259,6.57980079560538,0.00363670448451257,0.216778848997396,0.00304076647544933,0.435617037383427,-0.000595938009063236,0.968550133547216,1.57656109488475,0.000260868586294346,0.212338733216738,0.274791301809896,NA
Subgroup_26,67,0.000512121212121212,0.000414814814814815,0.000337142857142857,0.603125284506856,0.304017897029595,-0.299107387477261,-0.00433437547091044,0.330343085335153,0.00259962178298945,0.733267869150533,0.0069339972538999,0.119351873168112,2.17534153572562,0.000710167621196603,0.119504905904471,0.194748735548026,NA
Thermoanaerobaculia,85,0.00261515151515152,0.012962962962963,0.0169219047619048,-2.69392553006036,-2.30942907473572,0.384496455324636,0.0190725302317525,0.403040532882538,-0.0468349237397997,0.0177936820387422,-0.0659074539715522,0.000544179538263467,7.70920804543439,0.0595733287865788,0.000812215035731487,0.00210220362189326,CoralCCA
Vicinamibacteria,85,0.000778787878787879,0.0228,0.0303390476190476,-5.28380155821896,-4.87165958432932,0.412141973889638,0.0154099380503359,0.67207480678021,-0.11007919031008,2.10039293557784e-06,-0.125489128360416,9.79336860496005e-08,20.3711164440723,0.236793568987856,5.0372965988765e-08,7.38803501168553e-07,CoralCCA
Acidimicrobiia,89,0.0628909090909091,0.0523888888888889,0.0510666666666667,0.30046959853183,0.263590625615485,-0.0368789729163456,-0.0158737717510802,0.717130842972312,0.0127077819014951,0.848420540126158,0.0285815536525752,0.442788714279284,0.782935080716459,0.0115527509602247,0.460150304368891,0.50616533480578,NA
Actinobacteria,59,5.75757575757576e-05,0.0010537037037037,0.00127428571428571,-4.46808348889021,-4.19386394605798,0.274219542832225,0.000103154539382248,0.999677343613273,-0.0257743455879164,2.41085349395043e-06,-0.0258775001272986,2.48622182641434e-06,17.3610296852922,0.0112019252110994,4.20209273071025e-07,4.10871289225003e-06,CoralCCA
Actinobacteriota_unclassified,36,0.000142424242424242,0.000561111111111111,0.000203809523809524,-0.51702673641584,-1.9780917489903,-1.46106501257446,-0.00945389313666377,0.0260175511466442,-0.0107444802313831,0.0265755983396679,-0.00129058709471932,0.946891948567165,4.86011093502627,0.00220782728335501,0.00990073188909605,0.0209681341312076,CCA
Thermoleophilia,80,0.000387878787878788,0.00142962962962963,0.00116571428571429,-1.58753644438498,-1.88196365446307,-0.294427210078083,-0.00715858462996223,0.175563623738182,-0.0197873413646219,0.00010035336882519,-0.0126287567346596,0.0185136591497098,9.52357278009348,0.00534915854567689,0.000177120708175556,0.000502794268369322,CoralCCA
