kingdom,superclass,class,subclass,N,lib_match
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,52,Yes
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",51,Yes
Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,30,No
Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,unclassified,26,No
Organic compounds,Organoheterocyclic compounds,Benzodioxoles,unclassified,20,No
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,16,Yes
Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,14,Yes
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,12,No
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,11,Yes
Organic compounds,Organophosphorus compounds,Organophosphinic acids and derivatives,Phosphinic acid esters,10,No
Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,unclassified,10,Yes
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,10,Yes
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,9,No
Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,9,No
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,8,No
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,7,No
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,7,Yes
Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,7,Yes
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,7,No
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,7,Yes
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,6,No
Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,5,No
Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,5,Yes
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,5,No
Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,5,No
Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,unclassified,5,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,4,No
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,4,No
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,4,Yes
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Oxosteroids,3,No
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,3,No
Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,3,No
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,3,No
Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,3,No
Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,No
Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Chlorins,3,Yes
Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Bisphosphonates,3,No
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,3,No
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,3,Yes
Organic compounds,Benzenoids,Benzene and substituted derivatives,unclassified,3,No
Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,No
Organic compounds,Benzenoids,Phenanthrenes and derivatives,Hydrophenanthrenes,2,No
Organic compounds,Organoheterocyclic compounds,Azolidines,Imidazolidines,2,No
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,2,No
Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,2,No
