"subclass","n_samp_obs","Limu_MA","CCA_MA","Coral_MA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val","sample_type_DA"
"#N/D",103,0.167283948365676,0.160969714451139,0.157069761757399,0.090893551732327,0.0555097401592578,-0.0353838115730692,-0.00317527531537853,0.953267656087046,0.00858506852178925,0.772473536665924,0.0117603438371678,0.602601960317065,0.468876298713824,0.0021410559356439,0.627073514667705,0.645792127045845,"NA"
"Aspochalasins",7,9.82869110856124e-05,0,0,Inf,Inf,0,-7.15573433840433e-18,1,0.00496064340755713,5.42456357470744e-05,0.00496064340755714,3.5344167086615e-05,12.8053348141954,0.000452978017476877,1.11859650564718e-05,8.90574910265254e-05,"Limu"
"unclassified",32,0.00554602019286596,0.00601653096556293,0.00556110836167878,-0.00391958004353864,-0.117479022889867,-0.113559442846328,-0.00254323555930939,0.00149727782361753,0.00441003217442364,1.66470105589234e-06,0.00695326773373303,1.21735177494031e-10,37.3316816859412,0.00073840995766692,7.76084588671408e-13,2.29499299792831e-11,"CoralCCA"
"Anilides",64,0.000261374061957806,0.000174407315393746,0.000186037259160327,0.49052438888121,0.583655424927726,0.0931310360465157,0.0019033546443406,0.692518526947515,0.00603504426930126,0.0706574399357703,0.00413168962496066,0.265376233524166,2.51776673991509,0.00053572539467352,0.0857408374366462,0.115822860530261,"NA"
"Aniline and substituted anilines",42,0.000257328101520102,0.00056572616276725,1.91508527750776e-05,3.7481284742441,-1.13649487668331,-4.88462335092742,-0.0157168894888435,1.88607034989907e-07,-0.00480681061773337,0.277468129291435,0.0109100788711101,0.00154892818535679,17.9120974885145,0.00509096811565979,2.24462097233053e-07,2.73315612513188e-06,"CCALimu"
"Benzenesulfonamides",103,0.00908750374487758,0.0132386953097003,0.0120575223921524,-0.407977530680038,-0.542804991048717,-0.134827460368679,-0.00430239295481169,0.498009488303657,-0.0196882827450369,6.64412485904542e-05,-0.0153858897902252,0.00163469436871455,10.4100873188717,0.00593785385196298,7.81676477273699e-05,0.000505646971236424,"CoralCCA"
"Benzenesulfonic acids and derivatives",6,1.26057783854746e-05,1.64121037346147e-06,0,Inf,2.94125312171664,-Inf,-0.000357499277635078,0.653210563853323,0.000849882489986599,0.173933180544532,0.00120738176762168,0.0269947617327471,3.46484186066029,2.24218022103617e-05,0.035082124621372,0.0543946535253432,"Limu"
"Benzoic acids and derivatives",103,0.00478437117376853,0.00776958291109963,0.00712949496694113,-0.575470565054391,-0.699507834718725,-0.124037269664334,-0.00244312573568925,0.845521475315099,-0.0178651243140561,0.00217151848632258,-0.0154219985783669,0.00765016303092136,6.71552901048266,0.00516925054577022,0.00183400642270872,0.006779273741084,"CoralCCA"
"Benzonitriles",9,0,6.70702918339693e-05,4.90705672323507e-06,-Inf,-Inf,-3.77274402599018,-0.00331128116307996,0.00626227948737546,-0.00365310379423654,0.0100724016350994,-0.000341822631156583,0.956084057831353,6.43160281726603,0.00028162376634433,0.00235711588634502,0.0078445685830079,"CCA"
"Benzophenones",63,6.62395664781874e-05,4.71069246605801e-05,4.95604955758776e-05,0.418502617126247,0.491754080939148,0.0732514638129012,-0.000187528049296351,0.984177647485346,0.00147577225358588,0.484889122228942,0.00166330030288223,0.382313401732323,0.970011184789404,4.63818264589693e-05,0.382616568412927,0.425815213233741,"NA"
"Benzoyl derivatives",3,0,2.40357144191631e-05,0,0,-Inf,-Inf,-0.0011627428079953,0.181576853716213,-0.0011627428079953,0.280802381652691,-1.80700362080917e-18,1,1.90911557379421,3.20535221872269e-05,0.15357437078424,0.195030029155446,"NA"
"Benzylamines",33,0.000149156253018642,5.29114983540125e-06,5.22562524354117e-05,1.51314889007498,4.81709937751864,3.30395048744366,0.00411347213487371,0.0149389847284664,0.00584080779941621,0.00220216849309418,0.0017273356645425,0.54655543178945,7.01503572681876,0.000578605869131527,0.00140938672626664,0.00540264911735545,"CoralLimu"
"Benzylethers",103,0.000695011563221065,0.00156181967049056,0.00228811767764648,-1.7190523657584,-1.168119001937,0.550933363821401,0.00484625641123679,0.586001503495696,-0.0113369916693494,0.120265477602073,-0.0161832480805862,0.0123644175394186,4.25450108984111,0.00402546183295092,0.0168543305809637,0.0300762623298231,"Coral"
"Benzyloxycarbonyls",83,0.000167797701761838,0.000463646767737295,9.69343420026682e-05,0.791643175205672,-1.466303141295,-2.25794631650067,-0.00484010963410597,0.132324702302336,-0.0027802048044427,0.603984618232074,0.00205990482966327,0.747330574119306,1.8890512792214,0.0004616118019271,0.156571857051747,0.197624234205558,"NA"
"Biphenyls and derivatives",39,4.09735885307592e-05,0.000232702999446047,2.68002155682234e-05,0.612449646748028,-2.50572364966434,-3.11817329641236,-0.00931255173751703,2.4978967894107e-07,-0.00972393952387149,3.21233080957661e-06,-0.000411387786354462,0.972446878666254,20.842446957726,0.00212528096094902,2.71532946988273e-08,4.68394333554772e-07,"CCA"
"Diphenylethers",6,0,6.73529293644652e-05,0,0,-Inf,-Inf,-0.00262839933575683,0.0405191145457618,-0.00262839933575683,0.0908652894135075,1.54498809579184e-18,1,3.66066618405372,0.000163791414102537,0.0292211440602558,0.0495801378727291,"CCA"
"Diphenylmethanes",103,0.00067339382586154,0.000632459843428482,0.000498605149517855,0.433552710763806,0.0904766114664624,-0.343076099297344,-0.00271109503800377,0.297281712912258,0.000636144230397484,0.951013792238586,0.00334723926840126,0.238968255456481,1.73343134426019,0.000224028685472752,0.18194325802497,0.222853576397449,"NA"
"Methoxybenzenes",30,2.17431912509744e-05,2.8748262468172e-05,1.05884851418152e-05,1.03806749777085,-0.402911062421672,-1.44097856019252,-0.00138579167959413,0.263444455572957,-0.00051831126144665,0.869026070213651,0.000867480418147477,0.662978988986037,1.26082837175011,3.86546706291898e-05,0.287885116704169,0.3350609453626,"NA"
"N-phenylureas",35,0.000107147261968366,1.72495802898105e-05,4.34240780789927e-05,1.30302785895118,2.63496181965771,1.33193396070653,0.000367622507389759,0.958191124796872,0.00487375408509074,0.00560329073228671,0.00450613157770098,0.00927722124360841,5.91199054389657,0.000405541458054542,0.00374328174233659,0.010331457608849,"Limu"
"Nitrobenzenes",103,0.0152723464243985,0.00366133413562759,0.00720788268280403,1.08327429823299,2.06048038703513,0.977206088802132,0.0256124258583823,3.24200621029114e-05,0.063133761100348,1.21455956403338e-10,0.0375213352419658,1.04693117286558e-07,48.2395678918195,0.0580386980012086,2.15862915903434e-15,8.93672471840216e-14,"CoralLimu"
