,3973134
16S_144,313307
16S_154,309618
16S_112,275601
16S_152,291660
16S_143,277854
16S_150,272974
16S_127,242742
16S_P2_mock_pPNA,251444
16S_119,245812
16S_121,231729
16S_84_manual,220593
16S_142,226681
16S_47,225384
16S_151,234167
16S_146,223417
16S_120,224349
16S_118,212001
16S_136,206724
16S_111,204408
16S_145,224566
16S_29,186208
16S_21,201236
16S_4,195882
16S_135,205316
16S_141,197107
16S_19,194052
16S_149,189854
16S_153,196430
16S_103,185548
16S_30,186504
16S_126,178859
16S_56,182384
16S_137,167572
16S_95,164236
16S_105,165796
16S_22,168429
16S_138,175974
16S_107,165219
16S_64,167645
16S_45,162706
16S_148,173879
16S_140,174549
16S_113,167889
16S_5,160486
16S_60,164466
16S_109,166893
16S_55,156461
16S_94,154843
16S_132,148693
16S_67,150238
16S_128,150352
16S_134,150286
16S_122,143103
16S_39,141263
16S_131,146928
16S_99,142153
16S_3,134148
16S_86,133217
16S_11,136564
16S_72,136547
16S_123,127039
16S_32,145900
16S_130,137983
16S_36,145710
16S_26,128230
16S_110,145370
16S_14,132444
16S_59,129368
16S_40,122802
16S_104,132363
16S_129,128853
16S_62,122787
16S_2,130548
16S_133,130861
16S_101,126440
16S_63,127316
16S_76,130013
16S_24,131592
16S_69,128184
16S_115,128250
16S_102,123415
16S_20,123416
16S_18,114936
16S_108,120073
16S_15,114709
16S_71,105796
16S_6,116020
16S_124,122342
16S_23,112638
16S_70,111910
16S_68,113617
16S_93,112510
16S_147,121094
16S_41,109680
16S_117,126173
16S_100,114779
16S_7,101626
16S_50,111004
16S_44,103866
16S_83,114938
16S_25,101233
16S_106,103134
16S_125,106511
16S_65,102576
16S_13,93176
16S_42,112782
16S_48,97121
16S_116,103506
16S_79,99505
16S_31,87115
16S_139,102409
16S_53,98868
16S_10,97975
16S_17,89187
16S_43,82651
16S_P1_mock,86706
16S_75,88862
16S_114,97748
16S_34,81051
16S_73,83809
16S_38,86806
16S_9,85509
16S_P43_NOV_2020,78562
16S_58,78971
16S_12,75683
16S_87,78734
16S_82,71952
16S_46,65717
16S_66,74385
16S_P43_NOV_2020_mpna,62700
16S_37_r,75242
16S_8,72105
16S_53_r,57158
16S_P2_mock,68310
16S_33,64699
16S_27_r,54991
16S_90_r,53590
16S_52_r,46813
16S_1,56685
16S_P44_NOV_2020_mpna,54743
16S_35_r,53124
16S_78_r,45032
16S_74,53191
16S_52,52990
16S_P42_NOV_2020_mpna,44913
16S_49_r,53199
16S_57,46774
16S_28,49376
16S_28_r,49896
16S_61,50605
16S_85_r,52415
16S_P26_NOV_2020,46724
16S_54,47287
16S_92_r,39941
16S_P26_NOV_2020_mpna,47046
16S_84,39467
16S_80_r,38974
16S_51_r,39816
16S_54_r,39609
16S_98_r,39256
16S_P42_NOV_2020,41361
16S_81,33984
16S_77_r,33573
16S_88_r,35546
16S_16,30758
16S_51,23991
16S_97,23774
16S_89_r,30207
16S_P44_NOV_2020,24484
16S_91_r,23769
16S_P41_NOV_2020,23736
16S_P237_NOV_2020_mpna,24927
16S_97_r,23084
16S_96_r,17543
16S_P1_ext_neg,20485
16S_P2_ext_neg_2,17108
16S_P41_NOV_2020_mpna,15214
16S_P2_ext_neg_1,15473
16S_85,14059
16S_84_r,16899
16S_35,10009
16S_96,6675
16S_P1_mPNA_NTC,7543
16S_P2_NTC1_pPNA,6161
16S_37,2684
16S_89,3098
16S_P2_NTC2_pPNA,2577
16S_P1_NTC2,1325
16S_88,1094
16S_P1_NTC,1034
16S_91,368
16S_P237_NOV_2020,1024
16S_77,713
16S_80,498
16S_P2_NTC1,196
16S_27,884
16S_P2_NTC2,426
16S_92,339
16S_49,273
16S_90,205
16S_78,189
16S_98,160
