sampleid	ATTRIBUTE_MostAbundant	ATTRIBUTE_SampleType	ATTRIBUTE_Site_code	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
metabolite2	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2.0"",""main.cluster index_upperinput"":""2.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=87&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to Sulfadimethoxine from NIST14	0.988109	4.0478	4.0478	0	N/A	CCMSLIB00003138938	6728314796	107	87	107	311.0811	1	311.0811	6728314796
metabolite10	Coral	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10.0"",""main.cluster index_upperinput"":""10.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.2959	5.2959	0	N/A	N/A	6805068750	94	18	94	460.2701	1	460.2701	6805068750
metabolite1000	Coral	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1000.0"",""main.cluster index_upperinput"":""1000.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=155&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	1.9724	1.9724	0	N/A	N/A	574953248	48	155	48	167.013	1	167.013	574953248
metabolite10001	CCA	Coral,Limu,CCA	M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10001.0"",""main.cluster index_upperinput"":""10001.0""}"	This Node is a Singleton	N/A	N/A	N/A	6.8554	6.8554	0	N/A	N/A	14547749.81	15	-1	15	335.2581	1	335.2581	14547749.81
metabolite10005	CCA	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10005.0"",""main.cluster index_upperinput"":""10005.0""}"	This Node is a Singleton	N/A	N/A	N/A	0.6551	0.6551	0	N/A	N/A	44579513.98	16	-1	16	363.0329	1	363.0329	44579513.98
metabolite10007	Limu	Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10007.0"",""main.cluster index_upperinput"":""10007.0""}"	This Node is a Singleton	N/A	N/A	N/A	7.0526	7.0526	0	N/A	N/A	4338568.52	4	-1	4	517.2413	1	517.2413	4338568.52
metabolite10008	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10008.0"",""main.cluster index_upperinput"":""10008.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=320&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.2349	5.2349	0	N/A	N/A	25944620.82	25	320	25	275.2008	1	275.2008	25944620.82
metabolite1001	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1001.0"",""main.cluster index_upperinput"":""1001.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=96&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.5539	9.5539	0	N/A	N/A	75266257.44	49	96	49	1760.6534	2	880.8267	75266257.44
metabolite10010	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10010.0"",""main.cluster index_upperinput"":""10010.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=46&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	2.8539	2.8539	0	N/A	N/A	915595206.9	42	46	42	171.9931	1	171.9931	915595206.9
metabolite10014	Limu	Limu	M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10014.0"",""main.cluster index_upperinput"":""10014.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=608&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	6.3924	6.3924	0	N/A	N/A	1801628.557	3	608	3	415.3216	1	415.3216	1801628.557
metabolite10019	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10019.0"",""main.cluster index_upperinput"":""10019.0""}"	This Node is a Singleton	N/A	N/A	N/A	9.1025	9.1025	0	N/A	N/A	192252845	64	-1	64	744.8521	1	744.8521	192252845
metabolite10020	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10020.0"",""main.cluster index_upperinput"":""10020.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=814&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.6683	0.6683	0	N/A	N/A	130419278.3	31	814	31	241.1549	1	241.1549	130419278.3
metabolite10024	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10024.0"",""main.cluster index_upperinput"":""10024.0""}"	This Node is a Singleton	N/A	N/A	N/A	7.7677	7.7677	0	N/A	N/A	11364901.93	15	-1	15	267.2105	1	267.2105	11364901.93
metabolite10032	Limu	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10032.0"",""main.cluster index_upperinput"":""10032.0""}"	This Node is a Singleton	N/A	N/A	N/A	7.5863	7.5863	0	N/A	N/A	149560669	23	-1	23	387.2872	1	387.2872	149560669
metabolite10034	Limu	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10034.0"",""main.cluster index_upperinput"":""10034.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.7618	5.7618	0	N/A	N/A	2972017.947	10	-1	10	323.2567	1	323.2567	2972017.947
metabolite10035	Limu	Coral,Limu	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10035.0"",""main.cluster index_upperinput"":""10035.0""}"	This Node is a Singleton	N/A	N/A	N/A	6.864	6.864	0	N/A	N/A	11623971.37	13	-1	13	321.2427	1	321.2427	11623971.37
