id	clade	color	linetype	line
e9f209ab82a5b6c9d84b6afeb6428485	clade	#1b9e77	dashed	4
0c9878bfec56f2bd164b5e10ebe69ebe	clade	#d95f02	dashed	4
2cf10a7d6ee8f5b392e02fc1dfd83382	clade	#7570b3	dashed	4
b1a95e1d41191eaef85cca7b1862f1ed	clade	#7570b3	dashed	4
a616ef662eb9661a439f63ee2c6b5459	clade	#e7298a	dashed	4
5c40cdbd0b9a445f9c373a405b117734	clade	#66a61e	dashed	4
2441e8a117c6099b686a2acbda881801	clade	#7570b3	dashed	4
4a34226bad88e8235fdf5634dab10ded	clade	#e6ab02	dashed	4
89a62cecf69648b6708845418c1127eb	clade	#66a61e	dashed	4
7c7e7a50d3e5c09f1e26624e573a64ed	clade	#66a61e	dashed	4
5714aebca877c092d078451f01fb677f	clade	#66a61e	dashed	4
95914b99297fccda740536b2468e60bb	clade	#7570b3	dashed	4
374c4c913b8b89c9de5a75cf08479659	clade	#66a61e	dashed	4
742b151e7ea6d816575a0666509cf74e	clade	#66a61e	dashed	4
4a1db41d348a8a0c1d761130bb5615f4	clade	#1b9e77	dashed	4
86ab258e851997adc3a0644621390f9a	clade	#66a61e	dashed	4
11b0dfd3e7bb9ab1e3b4780706a81357	clade	#7570b3	dashed	4
194d5996a5c9cd03a735060c2ab1fd13	clade	#7570b3	dashed	4
131d806244187aa032c6344ce64c817b	clade	#a6761d	dashed	4
651eb1acd63144f03dd40231bce26f69	clade	#66a61e	dashed	4
3f1183ea30cd69dff058b6cf2453aeac	clade	#666666	dashed	4
6766d241a01d98233bf05dca6bdea76b	clade	#1b9e77	dashed	4
ac132f0b0c5a1cdef0c43df271b2d0a7	clade	#d95f02	dashed	4
6fe7f8e8e061774ca8df27a3e27e8f7f	clade	#66a61e	dashed	4
fc0a90a364afe60c93216b0cf5546b4d	clade	#7570b3	dashed	4
5efde4f918518f5d898ae57332d0a59c	clade	#66a61e	dashed	4
41dcce3bf86ab68a4bdce80e69eca225	clade	#66a61e	dashed	4
46891ac8bc2bde342b1ef14161fd8d18	clade	#e7298a	dashed	4
301ff6093275928ff3f8297a2017f988	clade	#66a61e	dashed	4
5085c9874404a13b84138737d217e645	clade	#a6761d	dashed	4
b42d9e035b4daeaa07f52060cb5218bc	clade	#66a61e	dashed	4
f844252af0c8647d609c6680730503dd	clade	#66a61e	dashed	4
10bd2dc8d83acf34dfb9060213cb7a97	clade	#66a61e	dashed	4
36acefc0df56e96605aaeddec62a6596	clade	#66a61e	dashed	4
db513fee0814e970cfb59145c8cee90d	clade	#e6ab02	dashed	4
423ff6cb5ce6868f5c9118f83ba5b697	clade	#7570b3	dashed	4
f6b41b05c9c65e11bb6ddcde4a1a5111	clade	#66a61e	dashed	4
c0c3c085348ed6730b8062b19e183fc8	clade	#e7298a	dashed	4
d4d5fd5c56c5cae62d1d54173e186a54	clade	#7570b3	dashed	4
ba9ebfcaef3f01ff17eebdf287246c0f	clade	#66a61e	dashed	4
e81c4e3556b884fbbc7f40f8cb0716d7	clade	#a6761d	dashed	4
27ddd5725005915dafbd41fdf5f6470c	clade	#666666	dashed	4
66b2d14fc3412cb90c448939815fe13d	clade	#66a61e	dashed	4
5a620cacd7f652a57221b980bbeaed68	clade	#66a61e	dashed	4
09eeaa6ab8658c5012fb31104e8f60d2	clade	#66a61e	dashed	4
068959e491cff5477c33feaa590b49c8	clade	#1b9e77	dashed	4
ae36cc4d43d375398d467c7f17f6a451	clade	#7570b3	dashed	4
7b43086e57449552e2cb5d6afc2dd025	clade	#66a61e	dashed	4
ed4f78210ada15addb9e402f0cc94cfe	clade	#d95f02	dashed	4
05715a734fe39acae69eaef4de0fe597	clade	#66a61e	dashed	4
4950ecefa3f682f449b25bd31db3d433	clade	#666666	dashed	4
f9c879da30888dd0e32837b1da7bde61	clade	#d95f02	dashed	4
358ccff9e9d1cbfeee39c3839b5c90ee	clade	#a6761d	dashed	4
5de5bbeed195534693ae43a27af3083f	clade	#66a61e	dashed	4
db9d322721dee5e178e82ca4f81dd46f	clade	#66a61e	dashed	4
35f63c063a5b7394a179b4c9569f5fdb	clade	#66a61e	dashed	4
4a9a889b6776a74cd37e04dba8d654d0	clade	#66a61e	dashed	4
780b928af43edd420ccf0fe5273b1309	clade	#66a61e	dashed	4
8d069d50d13de7988009236e1ef66511	clade	#66a61e	dashed	4
44d17eaa3c3fc3ba7f1bca45272d2232	clade	#66a61e	dashed	4
380d9bf7551159bad454dcfee6b80132	clade	#66a61e	dashed	4
4a6486f036c92a219e90fcfc632e3bfd	clade	#7570b3	dashed	4
a08194b9cebe42db90690d4d321c2a20	clade	#66a61e	dashed	4
9976a01eeda47f6e4720638bfe75d6fd	clade	#66a61e	dashed	4
4f4cdc8c988bf54e56713c7c51312374	clade	#a6761d	dashed	4
f4fccfc83d625fe86286e61473efe647	clade	#666666	dashed	4
6f62b945e00516c323d3091793a81239	clade	#7570b3	dashed	4
e4d9c2e5c1e12844d79ce674f8ae9aeb	clade	#a6761d	dashed	4
24883eb7d8fcbb50c5b81055e2dbe0a1	clade	#66a61e	dashed	4
