objectid,length,type,type_id,hsa_code,nhsa_code,ndar_code,hgu_code,stream_nam,trib_nam,quadrangle,comment,st_lengthshape
1,1638.45869,NON-PERENNIAL,2,,81004000,81004001,1,Kapua Gl,,Hawi,,1638.36732555088
2,26.20987,NON-PERENNIAL,2,,81004000,81004001,1,Kapua Gl,,Hawi,,26.209328160443
3,1780.09764,NON-PERENNIAL,2,,81005000,81005001,1,Ohanaula Gl,,Hawi,,1780.04797978221
4,3953.55685,NON-PERENNIAL,2,,81002000,81002001,1,Lipoa Gl,,Hawi,,3953.38414850262
5,4938.44146,NON-PERENNIAL,2,,81091000,81091001,1,Upolu,,Hawi,,4938.11611210064
6,4972.07193,NON-PERENNIAL,2,,81001000,81001001,1,Hualua,,Hawi,,4971.77670060385
7,3460.57562,NON-PERENNIAL,2,,81004000,81004001,1,Kapua Gl,,Hawi,,3460.51377693834
8,49.04259,NON-PERENNIAL,2,,81004000,81004001,1,Kapua Gl,,Hawi,,49.0425566964098
9,441.66715,NON-PERENNIAL,2,,81004000,81004001,1,Kapua Gl,,Hawi,,441.666832006502
10,2615.54116,NON-PERENNIAL,2,8-5-94,85037000,85037001,5,Kukuipahu,,Mahukona,,2615.40205409141
11,1083.14051,NON-PERENNIAL,2,8-5-94,85036000,85036001,5,Kauilii,,Mahukona,,1083.11196297028
12,91.51072,NON-PERENNIAL,2,8-5-94,85036000,85036001,5,Kauilii,,Mahukona,,91.509456228699
13,1439.19932,NON-PERENNIAL,2,8-5-94,85036000,85036001,5,Kauilii,,Mahukona,,1439.15815561481
14,3005.46798,NON-PERENNIAL,2,8-5-94,85036000,85036002,5,Kauilii,Kauilii,Hawi,,3005.4008790642
15,2850.12708,NON-PERENNIAL,2,8-5-95,85035000,85035001,5,Mahukona,,Mahukona,,2850.07216909592
16,2930.26938,NON-PERENNIAL,2,8-5-95,85034000,85034001,5,Lapakahi,,Keawanui Bay,,2930.225467806
17,4851.52201,NON-PERENNIAL,2,8-5-95,85035000,85035002,5,Mahukona,Mahukona,Hawi,,4851.41632356335
18,1599.98912,NON-PERENNIAL,2,8-1-29,81092000,81092001,1,Nakookoo,,Honokane,,1599.91499813704
19,7994.09665,NON-PERENNIAL,2,8-5-96,85033000,85033001,5,Wawaionu,,Keawanui Bay,,7993.94761285562
