"","featureID","p_val","sum_sq","f_val","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","adj_p_val","Limu_MA","Coral_MA","CCA_MA","sample_type_DA","CCA","Coral","Limu","MeanDecreaseAccuracy","MeanDecreaseGini","RF_selection","LM_selection","X","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","Smiles","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","cluster.index","componentindex","number.of.spectra","parent.mass","precursor.charge","precursor.mass","sum.precursor.intensity.","MolNetEnhancer_CF_componentindex","MolNetEnhancer_CF_NrNodes","MolNetEnhancer_CF_kingdom","MolNetEnhancer_CF_kingdom_score","MolNetEnhancer_CF_superclass","MolNetEnhancer_CF_superclass_score","MolNetEnhancer_CF_class","MolNetEnhancer_CF_class_score","MolNetEnhancer_CF_subclass","MolNetEnhancer_CF_subclass_score","MolNetEnhancer_CF_Dparent","MolNetEnhancer_CF_Dparent_score","MolNetEnhancer_CF_MFramework","MolNetEnhancer_CF_MFramework_score","Qemistree_csi_smiles","Qemistree_ms2_smiles","Qemistree_ms2_library_match","Qemistree_structure_source","Qemistree_kingdom","Qemistree_superclass","Qemistree_class","Qemistree_subclass","Qemistree_direct_parent"
"1","id_10058",1.01063289762942e-09,434.324655897965,25.6620555318541,3.21250821809991,1.10915931537114e-05,-1.83697797315899,0.0464519584910257,-5.0494861912589,2.62866961531216e-09,5.57509408048449e-08,0.750512820744976,5.79999901200388,2.58749079390397,"CoralCCA",0.00146153846153846,0.00217671261487051,0.00162859362859363,0.00191048622435015,0.21423557814278,"Important","Significant","id_10058","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""10058.0"""",""""main.cluster index_upperinput"""":""""10058.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.609,0.609,0,"N/A","N/A",2297401000,69,10058,-1,69,174.1125,1,174.1125,2297401000,"S586",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CCCC(C(=O)OC)N=C(C)O","missing","missing","CSIFingerID","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids and derivatives"
"2","id_1099",2.73552250398098e-07,125.719813497083,17.643987170455,1.61257185473332,0.000750134551682491,2.86999949084341,2.31603609512909e-07,1.2574276361101,0.0284236784871852,6.15089209592771e-06,5.32681299994679,4.06938536383669,2.45681350910338,"CoralLimu",0.00233205128205128,0.000624895572263993,0.00241111111111111,0.001562633500714,0.142625532427734,"Important","Significant","id_1099","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1099.0"""",""""main.cluster index_upperinput"""":""""1099.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.5223,0.5223,0,"N/A","N/A",224890500,85,1099,-1,85,327.9851,1,327.9851,224890500,"S133",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"3","id_112",4.79633213360804e-07,52.0949279323937,16.8885558322231,1.01941486932158,0.00124899107121035,1.85327806471006,3.73473441506178e-07,0.833863195388484,0.0269338409727313,9.9818240320618e-06,8.05264097298733,7.21877777759885,6.19936290827727,"CoralLimu",0.00128717948717949,-0.00014520202020202,0.0032508658008658,0.00104810278626068,0.201963010993959,"Important","Significant","id_112","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""112.0"""",""""main.cluster index_upperinput"""":""""112.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.5187,0.5187,0,"N/A","N/A",3673117000,109,112,85,109,200.973,1,200.973,3673117000,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"CS(=O)(=O)CC(=NC#N)O","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"4","id_1123",8.59996607936164e-18,817.170498011942,59.7185525456487,6.39180819887813,1.21446186440721e-10,2.54140759438375,0.000996090792378945,-3.85040060449439,2.87533853837729e-07,2.30880422677262e-15,2.55512029489802,6.40552089939241,0.0137127005142736,"CoralLimu",0.00419920634920635,0.00478983516483517,0.00247561327561328,0.00405017696267696,0.43572922469276,"Important","Significant","id_1123","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1123.0"""",""""main.cluster index_upperinput"""":""""1123.0""""}","This Node is a Singleton","N/A","N/A","N/A",8.2549,8.2549,0,"N/A","N/A",1761004000,59,1123,-1,59,329.2477,1,329.2477,1761004000,"S139",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CCC=CCCC=CC=CCC=CCC=CC=CCCCC(=O)O","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids"
"5","id_1196",2.57558341242092e-05,31.4443931712286,11.7664287775441,-1.08250432689003,0.000202660449177605,0.0997610424741229,0.942019609315935,1.18226536936415,0.000358964422741526,0.000254837208889903,4.8735390184985,3.69127364913435,4.77377797602438,"CCALimu",0.000186413586413586,0.00166121185316232,0.00147222222222222,0.00117080176491941,0.147914125013472,"Important","Significant","id_1196","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1196.0"""",""""main.cluster index_upperinput"""":""""1196.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",7.8995,7.8995,0,"N/A","N/A",331055900,114,1196,27,114,480.1576,1,480.1576,331055900,"27",26,"Organic compounds",0.65384615,"Phenylpropanoids and polyketides",0.19629121,"Benzene and substituted derivatives",0.10770757,"",0.06498779,"Phenylpyrrolidines",0.05769231,"Aromatic heteropolycyclic compounds",0.49038462,"CC(=O)OCC1C(C(C(C(O1)SCCN=C(CCC(=O)OC)O)O)OC(=O)C)OC(=O)C","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"6","id_1200",3.35461700520533e-16,227.529308812533,51.966413845502,0.297964956660792,0.645863731996423,3.66064395058428,1.21460841384646e-10,3.36267899392349,1.21539334152487e-10,7.50502371108993e-14,2.83330040581688,-0.52937858810661,-0.8273435447674,"Limu",0.00106482683982684,0.0011025641025641,0.00303049728049728,0.00152251922251922,0.125429698409484,"Important","Significant","id_1200","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1200.0"""",""""main.cluster index_upperinput"""":""""1200.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=435&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","Spectral Match to Monopalmitolein (9c) from NIST14","0.903239",7.3713,7.3713,0,"N/A","CCMSLIB00003137946",46624220,17,1200,435,17,311.2564,1,311.2564,46624220,"435",13,"Organic compounds",1,"Lipids and lipid-like molecules",0.74130037,"Fatty Acyls",0.40247253,"Monoradylglycerols",0.29487179,"1-monoacylglycerols",0.19230769,"Aliphatic acyclic compounds",0.62774725,"CCCCCCC=CCCCCCCCC(=O)OCC1CO1","missing","Spectral Match to Monopalmitolein (9c) from NIST14","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Glycidol esters"
"7","id_12316",5.36986888821784e-09,254.964777753423,23.1763478766474,1.59714130718854,0.00891986786978571,4.18453470703107,2.36004293885372e-09,2.58739339984253,0.000112137958629854,2.25254812633888e-07,3.96855557736644,1.38116217752391,-0.215979129664629,"CoralLimu",0.00179261294261294,-0.000125,0.00196753246753247,0.00103300482202921,0.175022761960896,"Important","Significant","id_12316","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""12316.0"""",""""main.cluster index_upperinput"""":""""12316.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.5224,0.5224,0,"N/A","N/A",159705800,39,12316,-1,39,372.9454,1,372.9454,159705800,"S810",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"8","id_1232",2.04024436731495e-05,21.7845638077673,12.0549400781344,-0.922265610244011,0.000115677678851567,0.0336137343540983,0.990015283204493,0.95587934459811,0.000456729629382036,0.000211070415332247,4.81905692942355,3.86317758482544,4.78544319506945,"CCALimu",0.00021359649122807,0.00301694139194139,0.0011031746031746,0.00150969734158589,0.184264940022699,"Important","Significant","id_1232","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1232.0"""",""""main.cluster index_upperinput"""":""""1232.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=839&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",7.9001,7.9001,0,"N/A","N/A",333760800,115,1232,839,115,445.1204,1,445.1204,333760800,"839",2,"Organic compounds",1,"Organic acids and derivatives",0.40178571,"Carboxylic acids and derivatives",0.40178571,"Amino acids, peptides, and analogues",0.40178571,"Proline and derivatives",0.40178571,"Aromatic heteropolycyclic compounds",0.80357143,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"9","id_13584",6.56759737274359e-15,247.738742483868,46.0775398239447,0.0838876978318245,0.972020657778517,3.71214007361394,1.21738397140803e-10,3.62825237578211,1.21724963442205e-10,1.12543466468249e-12,3.06949178795301,-0.558760587829106,-0.642648285660932,"Limu",0.00101038961038961,0.000315151515151515,0.00187878787878788,0.00103296868296868,0.135338393055217,"Important","Significant","id_13584","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13584.0"""",""""main.cluster index_upperinput"""":""""13584.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.6062,0.6062,0,"N/A","N/A",137836100,19,13584,-1,19,1979.6212,10,198.8621,137836100,"S872",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"10","id_13617",8.23289832496882e-17,260.095573435346,54.8718548341485,-0.0759243953391795,0.973976151784292,3.71776026558373,1.21472609748707e-10,3.79368466092291,1.21455290269523e-10,2.00932615482724e-14,3.11696818078932,-0.676716480133594,-0.600792084794414,"Limu",0.000519607843137255,0.000635294117647059,0.00176277056277056,0.000942476373156733,0.135264221153317,"Important","Significant","id_13617","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""13617.0"""",""""main.cluster index_upperinput"""":""""13617.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.6105,0.6105,0,"N/A","N/A",140366500,18,13617,-1,18,292.785,1,292.785,140366500,"S881",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
