sample_name,sample_type,genus
2606,Coral,Monitipora
2607,Coral,Monitipora
2608,Coral,Monitipora
2609,Coral,Porites
2610,Coral,Porites
2611,Coral,Porites
2612,Coral,Pocillopora
2613,Coral,Pocillopora
2614,Coral,Pocillopora
2631,Limu,Neomeris
2637,Limu,Jania
2638,Limu,Jania
2641,Limu,Ectocarpus
2643,Limu,Colpomenia
2644,Limu,Colpomenia
2645,Limu,Halimeda
2646,Limu,Halimeda
2647,Limu,Halimeda
2648,CCA,""
2649,CCA,""
2650,CCA,""
2651,CCA,""
2652,CCA,""
2653,CCA,""
2654,CCA,""
2655,CCA,""
2656,CCA,""
2678,Coral,Porites
2679,Coral,Porites
2680,Coral,Porites
2681,Coral,Pocillopora
2682,Coral,Pocillopora
2683,Coral,Pocillopora
2684,Coral,Monitipora
2685,Coral,Monitipora
2686,Coral,Monitipora
2701,Limu,Galaxaura
2702,Limu,Galaxaura
2703,Limu,Galaxaura
2704,Limu,Halimeda
2710,Limu,Jania
2711,Limu,Jania
2712,Limu,Jania
2713,Limu,Halimeda
2714,Limu,Halimeda
2715,Limu,Halimeda
2719,CCA,""
2720,CCA,""
2721,CCA,""
2722,CCA,""
2723,CCA,""
2724,CCA,""
2725,CCA,""
2726,CCA,""
2727,CCA,""
2743,Coral,Pocillopora
2744,Coral,Pocillopora
2745,Coral,Pocillopora
2746,Coral,Monitipora
2747,Coral,Monitipora
2748,Coral,Monitipora
2749,Coral,Porites
2750,Coral,Porites
2751,Coral,Porites
2788,CCA,""
2789,CCA,""
2790,CCA,""
2791,CCA,""
2792,CCA,""
2793,CCA,""
2795,CCA,""
2796,CCA,""
2815,Coral,Monitipora
2816,Coral,Monitipora
2817,Coral,Monitipora
2818,Coral,Pocillopora
2819,Coral,Pocillopora
2820,Coral,Pocillopora
2821,Coral,Porites
2822,Coral,Porites
2823,Coral,Porites
2839,Limu,Galaxaura
2841,Limu,Galaxaura
2843,Limu,Lophocladia
2844,Limu,Porphyra/Pyropia
2848,Limu,""
2853,Limu,Dictyota
2857,CCA,""
2858,CCA,""
2859,CCA,""
2860,CCA,""
2861,CCA,""
2862,CCA,""
2873,Coral,Porites
2874,Coral,Porites
2875,Coral,Porites
2876,Coral,Porites
2877,Coral,Porites
2878,Coral,Pocillopora
2879,Coral,Monitipora
2880,Coral,Monitipora
2881,Coral,Monitipora
2888,Limu,Hypnea
2903,CCA,""
2904,CCA,""
2905,CCA,""
2906,CCA,""
2907,CCA,""
2908,CCA,""
2909,CCA,""
2910,CCA,""
2911,CCA,""
