"","Df","SumOfSqs","R2","F","Pr(>F)","description"
"site_name...1",3,1.46096383699276,0.178081260519852,1.44443525428873,0.002,"Limu site metabolite samples"
"Residual...2",20,6.74295291835782,0.821918739480148,NA,NA,"Limu site metabolite samples"
"Total...3",23,8.20391675535058,1,NA,NA,"Limu site metabolite samples"
"genus...4",2,1.22471499269472,0.248891004420112,1.98818817949018,0.001,"Limu genus metabolite samples"
"Residual...5",12,3.69597306330059,0.751108995579888,NA,NA,"Limu genus metabolite samples"
"Total...6",14,4.92068805599532,1,NA,NA,"Limu genus metabolite samples"
"site_name...7",4,2.06505390903553,0.158359105460903,1.74043554087937,0.001,"Coral site metabolite samples"
"Residual...8",37,10.9752692414724,0.841640894539097,NA,NA,"Coral site metabolite samples"
"Total...9",41,13.0403231505079,1,NA,NA,"Coral site metabolite samples"
"genus...10",2,2.07822149668033,0.159368864766161,3.69685672191487,0.001,"Coral genus metabolite samples"
"Residual...11",39,10.9621016538276,0.840631135233839,NA,NA,"Coral genus metabolite samples"
"Total...12",41,13.0403231505079,1,NA,NA,"Coral genus metabolite samples"
"site_name...13",4,2.72785585864913,0.201143268360904,2.01431130659133,0.001,"CCA site metabolite samples"
"Residual...14",32,10.8338998037608,0.798856731639096,NA,NA,"CCA site metabolite samples"
"Total...15",36,13.56175566241,1,NA,NA,"CCA site metabolite samples"
