subclass,n_samp_obs,Limu_MA,CCA_MA,Coral_MA,FC_LimuVCoral,FC_LimuVCCA,FC_CoralVCCA,tuk_Coral_CCA_diff,tuk_Coral_CCA_p,tuk_Limu_CCA_diff,tuk_Limu_CCA_p,tuk_Limu_Coral_diff,tuk_Limu_Coral_p,f_stat,sum_of_sq,p_val,adj_p_val,sample_type_DA
Eicosanoids,103,0.0148138070346928,0.0169603815798219,0.0116712601549293,0.343982111479814,-0.195226178630631,-0.539208290110446,-0.0252724247725838,0.000924401034963829,-0.00666593914584032,0.675346348379282,0.0186064856267435,0.0453669492563047,7.41883008802223,0.013407395208408,0.000990337542693894,0.00394230521803146,CCALimu
Diterpenoids,103,0.00876143620974637,0.00936912719119684,0.00865495213594644,0.017641540417563,-0.0967472740466071,-0.11438881446417,-0.00376510876206682,0.665953399729943,-0.00355792779514147,0.764015029137579,0.000207180966925347,0.999039337748397,0.430047471099614,0.00032343590950476,0.651675461553761,0.66780604228529,NA
"Amino acids, peptides, and analogues",103,0.0237772917320384,0.0227812334115188,0.0352861657893586,-0.5695182753553,0.0617385404659617,0.631256815821262,0.0322761227346793,0.0594025520159879,0.00391604385320066,0.968552185805789,-0.0283600788814787,0.179443269991061,3.08042285923793,0.0237206097765836,0.0503247375398107,0.0733607089488789,NA
Purines and purine derivatives,103,0.00434303835492515,0.00220585456150149,0.00164378875731503,1.40167978307845,0.977367020879033,-0.424312762199415,-0.00617812610738983,0.41733840738819,0.0120543441104191,0.0897288467959653,0.0182324702178089,0.00388007128043799,5.42916065956109,0.00508184621920539,0.00577544033517723,0.0139013505742057,Limu
Lineolic acids and derivatives,103,0.0042379858798453,0.0054232942811845,0.00289182765871473,0.551397204900279,-0.355790675695893,-0.907187880596172,-0.0175472030802996,0.00429885181817202,-0.00720871725071737,0.484361300580894,0.0103384858295822,0.21292860398207,5.38944270139529,0.0061394966827486,0.0059861892152165,0.0140749261897317,CCA
Glycerophosphocholines,103,0.0183102299515976,0.00512813502782296,0.0512581549703455,-1.48513164043336,1.83614375467461,3.32127539510798,0.158824297327219,1.21446630529931e-10,0.0490796765345918,0.0142250726174266,-0.109744620792627,7.78053144134816e-09,60.486436804142,0.519215096003197,6.06808741199936e-18,6.28047047141934e-16,CoralLimu
Fatty acids and conjugates,103,0.0366759183577583,0.0434809863452946,0.0672973277084681,-0.875716127232545,-0.245551576430524,0.63016455080202,0.0473245581096789,4.38645882439026e-05,-0.0170122236126471,0.340385688238686,-0.064336781722326,1.05569269748251e-06,18.0812595914009,0.0767931678433969,1.98207967788931e-07,2.73526995548724e-06,Coral
Sesquiterpenoids,92,0.00138750507790125,0.000738874398309999,0.000210502429466609,2.72058426231246,0.909092005599588,-1.81149225671287,-0.00874384120543113,0.0252373880078082,0.00983572290118656,0.0315653211634359,0.0185795641066177,8.62614084262692e-06,12.5150379521464,0.00536581458919713,1.4101822968886e-05,0.000108113976094793,CCALimu
Monoterpenoids,79,0.000887206104634482,0.00132638780733218,0.000289292795539161,1.61673889707201,-0.580161452742717,-2.19690034981473,-0.0131937391425743,0.00948094683262946,-0.00216554234910139,0.905960232769921,0.011028196793473,0.074498561425114,5.06720733816249,0.00385699612047273,0.00801396790532029,0.0160814374086267,CCA
Triterpenoids,29,7.14888877083587e-05,0.00182957830369646,0.000214266951054132,-1.58361843239683,-4.67764834673093,-3.0940299143341,-0.0090998671706297,0.290789444834387,-0.00789802795397775,0.499719161514316,0.00120183921665196,0.983132670285457,1.25999211091488,0.00180127544604368,0.288120039973636,0.3350609453626,NA
Glycerophosphoethanolamines,63,0.000810599669873583,9.01025102416655e-05,0.00262698758067094,-1.69634788706948,3.16935038286335,4.86569826993282,0.0402464096925061,1.22069465646746e-10,0.0106460956887203,0.135439611220697,-0.0296003140037859,8.80305981443286e-07,38.390648694521,0.0339899162330269,4.24799657576505e-13,1.46555881863894e-11,Coral
Estrane steroids,93,0.00234253436209665,0.00295559857436409,0.000459143592590567,2.35105289276125,-0.335380127184729,-2.68643301994598,-0.0205725660807174,0.00436204437171506,0.00534195373330962,0.747874658704009,0.025914519814027,0.00136530934290635,8.40808784944246,0.0132036444596979,0.000421551641564542,0.00189698238704044,CCALimu
Steroid esters,74,0.000508464316684175,0.00106224281301042,0.000245309736887071,1.05154203251636,-1.06289514618266,-2.11443717869903,-0.00467226584492606,0.555624174527792,0.00225839573517967,0.902763817833135,0.00693066158010573,0.368505633973221,1.05532094441029,0.000843411459380455,0.351924649437126,0.400265947436731,NA
Terpene lactones,73,0.00234607856199896,0.00378806514202701,0.000281416810997522,3.05947090646432,-0.691209815533086,-3.75068072199741,-0.024606060144662,0.00657232136489461,0.000987881330706153,0.993608077581159,0.0255939414753681,0.0140776176483828,6.3674320702772,0.0155537755627479,0.00249509858788891,0.00803638507957773,CCALimu
